segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,question_id,segment_text,codes,language
D1_S0100,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"And if I may add, purification is the result of the two above,",general_response,ar
D1_S0101,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"is, well, ultimately, yeah, that's right.",general_response,ar
D1_S0102,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"That's right. You should have the face and then you, you have to worship and then you have the purification",practical_recommendation,ar
D1_S0103,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,and for the emotional pillar.,pillar_emotional,ar
D1_S0104,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"Mm-hmm. Motion. You must be balance, you know, noise, no noise swings",balance_multidimensional,ar
D1_S0105,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"decent and balanced. Uh, emotion transformation, you have to change when, whenever need, you know, for change. Is there.",balance_multidimensional,ar
D1_S0106,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,No. Their answer are correct.,general_response,ar
D1_S0107,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,We got a full mark. Our answer.,general_response,ar
D1_S0108,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,This is the wise. Why you cheating?,general_response,ar
D1_S0109,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,"Okay. Can you, do you want to take a picture or we need to take it back? Uh,",practical_recommendation,ar
D1_S0110,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"we did, uh, someone, yeah.",general_response,ar
D1_S0111,HWCH0AR.docx,0,D1_P01,participant,"Psychiatrist, Table 0",identified,Q2,Do you need to take a picture?,practical_recommendation,ar
D1_S0112,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"I'll take it. Yeah. To keep, yeah. Take it and then send it to us.",general_response,ar
D1_S0113,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"So how would you know this is ours, not theirs, for example. We're documenting it. Thank you.",general_response,ar
D1_S0114,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,"When the wises and the strong and the determine come together that,",general_response,ar
D1_S0115,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,look at that. I like it.,general_response,ar
D1_S0116,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,"My, uh, my brother works in, a, university of Science.",general_response,ar
D1_S0117,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"can we start because we have Oh,",general_response,ar
D1_S0118,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"So the first questions, okay. What is, uh, the wellbeing for you? For each one, you gonna answer, but.",general_response,ar
D1_S0119,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,Who want to answer first?,general_response,ar
D1_S0120,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,What's wellbeing to you? Anyone wants answer?,general_response,ar
D1_S0121,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"What? Do what, what does it mean? Wellbeing for you?",general_response,ar
D1_S0122,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,yeah. Yeah. It's very deep question and this is the first one. Should be the easiest one. The eyes are breaker.,practical_recommendation,ar
D1_S0123,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,I can start if you want.,general_response,ar
D1_S0124,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"My wellbeing is when I am able to stand during the difficult time, this is my wellbeing. Allow, 'cause I know it in myself.",general_response,ar
D1_S0125,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"There is no wrong or correct. And yeah, it's,",general_response,ar
D1_S0126,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q2,"she made it clear. There is no wrong and yeah,",general_response,ar
D1_S0127,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"it just, it's about your perception and your own translation.",general_response,ar
D1_S0128,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,"for me, I think my wellbeing is a sense of being content, not, not happy or sad , so I'm just content,",contentment_as_core,ar
D1_S0129,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,"content with how I feel, content with my relationships, content with my beliefs, content with what's going on in the world.",contentment_as_core;pillar_social,ar
D1_S0130,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q2,"So I think contentment would be,",contentment_as_core,ar
D1_S0131,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q2,"Yeah. Um, my wellbeing actually is, um, when I feel that I'm really useful to myself and others. Ally.",general_response,ar
D1_S0132,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,So when. We describe someone as well. What do we mean? Health aspect and social aspect from two principles to different aspect.,pillar_social,ar
D1_S0133,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q2,"When we describe somebody who are well,",general_response,ar
D1_S0134,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q3,"usually, what do you mean by that?",general_response,ar
D1_S0135,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,Forgiveness tell. I didn't get answer the question.,general_response,ar
D1_S0136,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"forgive me. I didn't get the, the question correctly. What does it mean about",general_response,ar
D1_S0137,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q3,"when you, when you describe someone as well",general_response,ar
D1_S0138,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"As being well, right?",general_response,ar
D1_S0139,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q3,Okay. What do we mean?,general_response,ar
D1_S0140,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,What do we mean from aspect,general_response,ar
D1_S0141,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"Yeah, sure. No, no. Thank you for the clarification.",general_response,ar
D1_S0142,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q3,"Uh, yeah. That this must be someone who really, uh, feel the power of now and utilizing it to the best of his abilities. Yeah. The power of now, because all always now is most powerful than the past or the future. Yeah.",practical_recommendation,ar
D1_S0143,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q3,"So I was gonna say from a physical point of view, someone who seems strong, but somebody who's present.",pillar_physical,ar
D1_S0144,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q3,"So it's the same as the now, somebody who is with you in the moment rather than",general_response,ar
D1_S0145,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"I will add to them. I always think about it this way, when I teach my student, my residents in psychiatry, I always bring the, the, the other example of physical medicine. They think that we can treat diabetes by giving them insulin, which is true partially it's true, but without a quality of life that they exercise, they care about the diet, they accept that they are having diabetes and work on it.",pillar_physical,ar
D1_S0146,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"They won't be able to reach to the ultimate treatment if, if I may call. So in that case, I look at health. From a comprehensive way as far as that person mentally challenged, physically challenged all of the above, un in them is able to accept and work toward, uh, uh, a balanced way of living. The, the moment.",balance_multidimensional;pillar_physical,ar
D1_S0147,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"So living the moment accepting it. I, I, I maybe Yeah. Expanded a little bit, but I know what you",general_response,ar
D1_S0148,HWCH0AR.docx,0,D1_M01,moderator,"Moderator, Table 0",identified,Q3,"Okay. Based on the wellbeing, uh, uh, health pillar that we discuss it earlier. Okay. The spiritual, emotional, intellectual, physical, and social, how can this pillar contribute to improve your wellbeing, your",pillar_emotional;pillar_intellectual;pillar_physical;pillar_social;spiritual_moral_anchor,ar
D1_S0149,HWCH0AR.docx,0,D1_P05,participant,"Healthcare professional, Table 0",identified,Q3,"I think I will have a, a very effective, uh, a useful style of life, you know, if I follow this. Mm-hmm. Yeah. My style of life definitely is going to be positive, you know, if it, uh, based on these principles.",general_response,ar
D1_S0150,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"Definitely. Uh, I, in, in, in, uh, in addition to what Dr. Mohammed Abdulalim, AB stated, it's about holistic approach in living life. If you are rich, have access to good food, lead your life, and you name them, but you don't have fulfill, uh, containment.",balance_multidimensional,ar
D1_S0151,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"You can't have, so it, it has to come from the intellect.",general_response,ar
D1_S0152,HWCH0AR.docx,0,D1_P02,participant,"Healthcare professional, Table 0",identified,Q3,"Plus minus the emotion, balanced emotion plus the spiritual component of you, of us, I believe this is how we so compliment each other.",balance_multidimensional;spiritual_moral_anchor,ar
D1_S0153,HWCH0AR.docx,0,D1_P03,participant,"Mental health professional, Table 0",identified,Q3,"I, I, I hadn't thought about the pillars until we sat today, uh, in that respect, but if I think about them and apply them to my life, so, and actually Dr. Abdulalim Said something when we came, you said about how, uh, much you're enjoying what you're doing in the ministry.",top_down_systemic_change,ar
