evidence_id,theme,segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,evidence_type,question_id,excerpt_text,codes,language,report_use
D3_S0173,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0173,HWAD10AR.docx,10,D3_P19,participant,"Admin, HMC Mental Health, Table 10",identified,verbatim_transcript,Q3,"And then I see, on the other side, I see the practitioners, they were like, oh, my God, you know, like, it's like, and how do you feel? So, like, you know, just to put the client perspective, you know, of the things that you are aware of, maybe you as a... on behalf of the client too, like, how can we enrich this? I think that happens to us as well. You know, we go in and out, right? So, like, I mean, I'll speak for us because of the way... I think it depends on your setup, right? So, like, you cut your sips for, like, 10 hours on the phone, for instance, right? We sit face to face, and it's one after the other. There's no time to think.",work_life_strain;provider_self_as_adult;consultation_time_pressure;professional_identity,en,theme_evidence
D3_S0311,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0311,HWAD10AR.docx,10,D3_P22,participant,"Participant, role not stated, Table 10",identified,verbatim_transcript,Q4,"So, you know, how do we equalize that? You know, it's not about, you know, how do we equalize that for everyone? How do we build the ability for those pillars to be present for the people without health literacy. Without the knowledge. Without the capacity. We have that capacity. So we're answering from our own privileged position. I get my privilege.",balance_multidimensional;provider_self_as_adult;health_literacy_navigation,en,theme_evidence
D3_S0466,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0466,HWAD1AR.docx,1,D3_P02,participant,"Social rehabilitation specialist, Aman Centre, Table 1",identified,verbatim_transcript,Q5,التحديات لا تختلف كثيرا، لكن طبعا تختلف بطريقة نسبية على حسب موقع العمل، يعني نحن عندنا موضوع إدارة الوقت، هذا شيء مهم جدا ومن ضمن التحديات. بس احنا عندنا الموضوع مختلف، لأن طبيعة متلقين الخدمة ممكن ان يكونوا معرضين للعنف او هناك اهمال، فطبيعي ان الشخص وخاصه الذي هو حد قاصر طفل مثلا أو سيدة مثل ما الدكتورة تفضلت وقالت الموقف عندنا مختلف، يعني تخيلي السيدة هي المشتكية زوجها ولا يوجد معها عندها سيارة والكلام ده يقابلنا مشكلة كيف نحضرها المركز عندنا احيانا تكون خائفة ان الزوج يعرف وهو يجب ان يعرف لان هذا جزء رئيسي وأساسي لحل المشكلة، وأحيانا يكون هناك... إحنا عندنا مبدأ لا نرفض أي حالة هناك حالات كثيرة بعد الوقت، أحيانا يكون الجدول مثلا عندنا Full يعني في مواعيد ولا حالة تأتي.,family_caregiving_ecology;consultation_time_pressure;practical_recommendation,ar,theme_evidence
D3_S0504,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0504,HWAD3AR.docx,3,D3_U01,unclear,"Unclear speaker identity cluster, Table 3",indeterminate,verbatim_transcript,Q1,It is about how you perceive it. you assess it how you react to it، بحيث أن لا تستطيع أن تحقق أو to cope with whatever it is. So، أنا مثلا في تربية أولادي أسعى إلى أن wellbeing يكونوا well-adjusted,functionality_coping_capacity;family_caregiving_ecology,ar,theme_evidence
D3_S0562,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0562,HWAD3AR.docx,3,D3_U01,unclear,"Unclear speaker identity cluster, Table 3",indeterminate,verbatim_transcript,Q3,"Yes, we should think individual, but we should think systems. وإلا نحن بالعكس نتعب هذا، نعطيه نعطيه نعطيه، نركز عليه، عندما يحدث أي شيء نحمله هو المسؤولية إلى آخره، نهمل الsystems",adult_role_responsibility;system_responsibility_orientation;practical_recommendation,ar,theme_evidence
D3_S0793,Theme_2_Adult_Life_as_Relational_and_Role_Bearing_Strain,D3_S0793,HWAD4AR.docx,4,D3_P16,participant,"University academic in psychology, Table 4",identified,verbatim_transcript,Q2,"في شغلة  استلهمتها من الأخت. أيضا نشجع قالت الدعوة في نهاية الدوام .افتكرت أن النبي صلى وسلم ينصحنا قلنا .في  الصبح وفي المساء أننقول  : اللهم إني أسألك العفو والعافية في الدنيا والآخرة، اللهم إني أسألك العفو والعافية في ديني ودنياي وأهلي ومالي""",spiritual_moral_anchor;family_caregiving_ecology;work_life_strain;professional_identity,ar,theme_evidence
D3_S0202,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0202,HWAD10AR.docx,10,D3_P21,participant,"Manager, occupational therapy, Sidra, Table 10",identified,verbatim_transcript,Q4,"Can we then... Are we doing... I guess, if I'm understanding the question correctly, like, are we doing justice to ourselves and the care we provide as a practitioner? And I just... I feel like I catch myself in this so much. And I don't know. Dion would probably agree with me with the pressure that we have to provide services.",work_life_strain;trust_questioning_barrier;health_literacy_navigation;consultation_time_pressure;professional_identity,en,theme_evidence
D3_S0218,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0218,HWAD10AR.docx,10,D3_P21,participant,"Manager, occupational therapy, Sidra, Table 10",identified,verbatim_transcript,Q4,"And we are quick to categorize them and box them. But we're like, wait, maybe that parent is going through something, you know? And then it's so multifaceted and it's complex. And there's no time.",consultation_time_pressure;digital_admin_relief;professional_identity,en,theme_evidence
D3_S0241,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0241,HWAD10AR.docx,10,D3_P24,participant,"Occupational therapist, private sector, Table 10",identified,verbatim_transcript,Q4,"Only one thing, you know, I have found here, like, getting an appointment within a time when we are sick is a task. That's what, as a parent and as a patient, what we felt there. Apart from, you know, if I give my honest review, I don't, like, you know, I don't lie.",trust_questioning_barrier;consultation_time_pressure;professional_identity;adult_service_user_voice,en,theme_evidence
D3_S0307,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0307,HWAD10AR.docx,10,D3_P22,participant,"Participant, role not stated, Table 10",identified,verbatim_transcript,Q4,"And he asked me to go to his appointment with his doctor. And I was like, why do you want me to come to your appointment? He's like, because you hear things that I don't. And it was the first time that I thought we are in a privileged position.",trust_questioning_barrier;consultation_time_pressure,en,theme_evidence
D3_S0338,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0338,HWAD10AR.docx,10,D3_P20,participant,"Manager, social work, Sidra, Table 10",identified,verbatim_transcript,Q5,"So it's better integrated even as a practitioner to other practitioners and have it be received well, not as challenged. You're challenging my authority or you're challenging my decision. I've had situations, I have had situations in which I've gone to an appointment and I have asked questions of the provider.",balance_multidimensional;trust_questioning_barrier;authority_defensiveness;professional_identity,en,theme_evidence
D3_S0342,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0342,HWAD10AR.docx,10,D3_P20,participant,"Manager, social work, Sidra, Table 10",identified,verbatim_transcript,Q5,"So that is a gap where the education or passing that, right? So, part of the pillar is, again, when you're looking at well-being, have we given them enough information? The knowledge. The knowledge as well to explain that. And would it be seen as authoritarian, like you're questioning my authority or would you? I've had parents and I've told them, please ask.",family_caregiving_ecology;health_literacy_navigation;authority_defensiveness;awareness_outreach;digital_admin_relief;professional_identity,en,theme_evidence
D3_S0464,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0464,HWAD1AR.docx,1,D3_P01,participant,"Islamic affairs expert and family-education consultant, Table 1",identified,verbatim_transcript,Q5,انا اعتقد التحدي الأكبر هو تحدي الوعي والتثقيف للمرضى بحقوقهم والكادر الطبي ايضا بحقوق المرضى، الوعي والتثقيف في الناحية هذه. يجب ان يكون للاثنين,trust_questioning_barrier;practical_recommendation;professional_identity,ar,theme_evidence
D3_S0851,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S0851,HWAD4AR.docx,4,D3_P09,participant,"Head of central laboratories, Hamad Hospital, Table 4",identified,verbatim_transcript,Q5,أنا بالنسبة لي أحس أن المتخصص نفسه لا يعرف يشرح five different aspects,health_literacy_navigation;professional_identity,ar,theme_evidence
D3_S1139,Theme_3_Holistic_Care_Undermined_by_Time_Hierarchy_and_Navigation_Barriers,D3_S1139,HWAD6AR.docx,6,D3_U02,unclear,"Unclear speaker identity cluster, Table 6",indeterminate,verbatim_transcript,Q7,يعني الجانب النفسي مهم مهم جدا، لأنه تواصل. هناك إحساس، مساعدة أقوى من فقط تواصل العملية. اللغة ضرورية للتواصل معها. عندنا في المركز,language_cultural_mismatch,ar,theme_evidence
D3_S0225,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0225,HWAD10AR.docx,10,D3_P20,participant,"Manager, social work, Sidra, Table 10",identified,verbatim_transcript,Q4,"They said to us, the physicians or the medical team helps us get physically better. But it's the psychosocial team that helps us be able to live, right? So what this patient was trying to communicate is the need that, yes, the systems do really, really good at giving us the physical pieces we need. But when we leave the facility, how are we living? How is our well-being? Occupational therapists help.",system_responsibility_orientation;interdisciplinary_integration;digital_admin_relief;professional_identity,en,theme_evidence
D3_S0324,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0324,HWAD10AR.docx,10,D3_P25,participant,"GP, private healthcare center, Table 10",identified,verbatim_transcript,Q5,"So, I think there are restrictions that have policies in place that we should rethink or re-evaluate to reach more individuals, regardless of their nationality, their background.",top_down_system_change;practical_recommendation;professional_identity,en,theme_evidence
D3_S0331,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0331,HWAD10AR.docx,10,D3_P19,participant,"Admin, HMC Mental Health, Table 10",identified,verbatim_transcript,Q5,We do a lot of collaboration and it's actually amazing how much they've developed. They have their own psychologists. We've done trainings and all sorts of things with them. So they have the support clinics. They have their own psychiatrists.,relational_connectedness;interdisciplinary_integration;digital_admin_relief;professional_identity,en,theme_evidence
D3_S0333,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0333,HWAD10AR.docx,10,D3_P24,participant,"Occupational therapist, private sector, Table 10",identified,verbatim_transcript,Q5,"But from my perspective, the collaboration has really, really gone forward in six years of the helpline. My other question would be, is it well-known? I knew none of this. I mean, I don't know any of this.",interdisciplinary_integration;professional_identity,en,theme_evidence
D3_S0568,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0568,HWAD3AR.docx,3,D3_P05,participant,"Student, Table 3",identified,verbatim_transcript,Q3,لكن أرجع واقول هذه من الاقتراحات التي اقترحتها يجب أن يصير عندنا الفحص النفسي مثل فحص الدم الدوري، صراحة.,practical_recommendation;student_voice,ar,theme_evidence
D3_S0868,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0868,HWAD4AR.docx,4,D3_P09,participant,"Head of central laboratories, Hamad Hospital, Table 4",identified,verbatim_transcript,Q6,أنا أحس أنه لازم يكون في proper strong campaigns like breast cancer campaigns,awareness_outreach;digital_admin_relief;practical_recommendation;professional_identity,ar,theme_evidence
D3_S1140,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S1140,HWAD6AR.docx,6,D3_U02,unclear,"Unclear speaker identity cluster, Table 6",indeterminate,verbatim_transcript,Q7,دخل نفسي لا تتكلم عربي حولها مرضى عربي يعني دائما تحولت إلى عيادة الدعم النفسي.,language_cultural_mismatch;differentiated_service_design,ar,theme_evidence
D3_S1149,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S1149,HWAD6AR.docx,6,D3_U02,unclear,"Unclear speaker identity cluster, Table 6",indeterminate,verbatim_transcript,Q7,تعطينا اقتراحات حلوة بصراحة. نعم. دعوني أقول لكم الأشياء التي سمعتها تكرارا وتكرارا نعامل الوقت، شعرت في كذا طاولة تتجرأ كيف يعني تتجرأ بالطرح كيف تحل أزمة الوقت؟ نحن بلا شك عندنا الأزمة، والأزمة مثلما قلت ذات الجهتين، ذات أو المريض أو الذي يزور المستشفى لا يشعر بقيمة الوقت الذي له، ومن ناحية أخرى الدكتور يقول أنا ما عندي وقت، يعني واحدة من أخصائياتي النفسية التي معها تقول أنا كل يوم عندي 8 أشخاص في  ساعة,consultation_time_pressure;practical_recommendation,ar,theme_evidence
D3_S0873,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S0873,HWAD4AR.docx,4,D3_P14,participant,"Nurse, HMC psychiatric hospital, Table 4",identified,verbatim_transcript,Q6,أنا أتوقع أن دمج ركائز الحياة الطبية في نظام الرعاية الصحية ممكنة، لأنه مثلا إحنا لما نبدأ نشتغل عندنا packages of orientation,balance_multidimensional;professional_identity,ar,close_reading_theme_support
D3_S1153,Theme_4_Coordinated_and_Institutionally_Embedded_Adult_Care_Redesign,D3_S1153,HWAD6AR.docx,6,D3_U02,unclear,"Unclear speaker identity cluster, Table 6",indeterminate,verbatim_transcript,Q7,دمج الركائز الخمسة للحياة الطيبة بشكل متكامل في الخدمات الصحية، بحيث يحصل المستفيد على تجربة تجربة شاملة في زيارة واحدة. أنا أعتقد سن الرشد للستين متفقين فيه؟ صح ولا لا؟ إدماج الركائز الخمسة للحياة الطيبة ضمن تكوين وتدريب الكوادر الطبية والشبه الطبية مثل المؤسسات التعليمية. وتجديد التراخيص المهنية.,balance_multidimensional,ar,close_reading_theme_support
