anonymized_code,source_file,table_id,speaker_type,role_label,turns,chars,classification_basis
D3_P17,HWAD6AR.docx,6,participant,"Role not stated, Table 6",1,161,"Classified as participant from one stable named turn (`د. وليد`) in the transcript, but the role is not preserved in the extracted text."
D3_P18,HWAD10AR.docx,10,participant,"Participant, role not stated, Table 10",11,1717,"Classified as participant from stable `Speaker 1` turns in the transcript, but the role header is recorded as `Not mentionned`."
D3_P19,HWAD10AR.docx,10,participant,"Admin, HMC Mental Health, Table 10",11,2659,"Classified as participant from stable `Speaker 2` turns with the role header `Admin - HMC-Mental health`."
D3_P20,HWAD10AR.docx,10,participant,"Manager, social work, Sidra, Table 10",20,3891,"Classified as participant from stable `Speaker 3` turns with the role header `Manager - Social Work - sidra`."
D3_P21,HWAD10AR.docx,10,participant,"Manager, occupational therapy, Sidra, Table 10",17,3236,"Classified as participant from stable `Speaker 4` turns with the role header `Manager - Occupational Therapy - Sidra`."
D3_P22,HWAD10AR.docx,10,participant,"Participant, role not stated, Table 10",2,215,"Classified as participant from stable `Speaker 5` turns in the transcript, but the role header is recorded as `Not mentionned`."
D3_P23,HWAD10AR.docx,10,participant,"Medical student, Table 10",8,2437,"Classified as participant from stable `Speaker 6` turns with the role header `Medical Student`."
D3_P24,HWAD10AR.docx,10,participant,"Occupational therapist, private sector, Table 10",10,1599,"Classified as participant from stable `Speaker 7` turns with the role header `Occupational Therapist, private`."
D3_P25,HWAD10AR.docx,10,participant,"GP, private healthcare center, Table 10",6,1593,"Classified as participant from stable `Speaker 8` turns with the role header `GP, private healthcare center`."
D3_U01,HWAD3AR.docx,3,unclear,"Unclear speaker identity cluster, Table 3",0,0,"HWAD3AR preserves additional flowing multi-speaker discussion beyond the recoverable short labels, so remaining unattributed material must stay `unclear` until coding."
D3_U02,HWAD6AR.docx,6,unclear,"Unclear speaker identity cluster, Table 6",0,0,"HWAD6AR is largely flowing multi-speaker discussion with only one stable named participant label (`د. وليد`); the remaining substantive discussion must stay `unclear` until coding."
