segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,question_id,segment_text,codes,language
D4_S0011,HWEL10AR.docx,10,D4_P27,participant,"Student, HBKU, Table 10",identified,Q1,"As a daughter, I say my mother is well because of how she carries herself. She has a positive attitude and gratitude despite facing challenges like my father passing away when we were young.",service_recipient_voice;general_response,en
D4_S0012,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,Q1,"You can feel the energy and see the smile when a patient is well. If they are not stressed or depressed, they are much more willing to listen to advice regarding their meals and lifestyle. Her interpretation focuses on tangible, external indicators. She views a person's energy, smile, and positive attitude as direct signs of their internal state. A person who is not stressed is more receptive to care, making these observable traits a practical gauge of wellbeing.",technology_integration,en
D4_S0013,HWEL10AR.docx,10,D4_P29,participant,"Qatar University participant, Table 10",identified,Q2,"It is all integrated. Sometimes a patient takes their medication, but if they are stressed, their blood pressure or glucose remains high. Elderly people often hide their problems because they don't want to be a burden, so you have to look deeper than just physical symptoms. Hidden Internal State: Her interpretation warns against a superficial assessment. She explains that because all pillars are integrated, internal states like stress can directly undermine physical health. She notes that elderly people often hide their struggles.",balance_multidimensional;dignity_autonomy;dependence_resistance;technology_integration,en
D4_S0014,HWEL10AR.docx,10,D4_P27,participant,"Student, HBKU, Table 10",identified,Q2,"I believe the intellectual pillar is the starting point. Every action and emotion comes from an idea, so changing your mindset provides the startup for the other pillars. Her interpretation positions the intellectual pillar as the origin point for all wellbeing. She argues that since all actions and feelings begin with a thought or an idea, changing one's mindset is the most powerful way to activate and influence all other pillars.",balance_multidimensional;pillar_intellectual,en
D4_S0015,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,Q2,"I lean toward the physical pillar because ideas must be put into practice. Pushing yourself physically activates the sympathetic system, and emotional and mental well-being automatically follow. His interpretation is that the physical pillar is the primary driver for the others. He believes that taking physical action is the necessary first step that creates a positive cascade effect, automatically improving both emotional and mental wellbeing",pillar_physical;professional_identity;general_response,en
D4_S0016,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,Q2,"I also choose the physical pillar because I like to lift weights. If I don’t, I feel depressed. Doing this activity gives me the energy I then give to my family. Her interpretation provides a personal and direct link between physical activity and emotional state. For her, lifting weights is not just exercise; it is a necessary tool for managing her mood and generating the positive energy she shares with her family.",pillar_physical;general_response,en
D4_S0017,HWEL10AR.docx,10,D4_P29,participant,"Qatar University participant, Table 10",identified,Q3,"Science shows we are not controlled solely by our genes, but by epigenetics. Our physical activity, emotions, and spiritual beliefs can modify our epigene and affect our health pathways. This proves scientifically that these pillars can empower well-being and allow for precision medicine. Her interpretation uses the concept of epigenetics to provide a scientific basis for the five pillars. She explains that lifestyle factors like physical activity, emotion, and belief systems can actively modify how our genes are expressed, offering scientific proof that the pillars are integral to health.",balance_multidimensional;spiritual_moral_anchor;technology_integration;epigenetics_precision,en
D4_S0018,HWEL10AR.docx,10,D4_P27,participant,"Student, HBKU, Table 10",identified,Q3,"Some doctors advise on lifestyle if they have enough time, but it is not a formal requirement. The spiritual pillar is well-reflected here; there is a mosque and wudoo area in every hospital I visit, which is amazing. Her interpretation is that the application of the pillars is inconsistent and depends entirely on the individual doctor and their available time. It is an ad-hoc practice rather than a required, systematic component of care.",balance_multidimensional;spiritual_moral_anchor;technology_integration;pillar_spiritual,en
D4_S0019,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,Q3,"In Rumailah and Hamad hospitals, they have created Multidisciplinary Teams (MDT). Even if a doctor doesn't provide social support, a dietician or physical therapist in the team will. Her interpretation highlights the Multidisciplinary Team (MDT) as a key mechanism for implementing the pillars. She views the MDT structure as a successful way to ensure patients receive holistic support, even if their primary doctor does not cover every aspect.",balance_multidimensional;multidisciplinary_team;institutional_example;technology_integration,en
D4_S0020,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,Q5,"We started a project at Raudat Al Khail Health Centre called the I-COPE Clinic. It is a holistic approach for the elderly involving physicians, physiotherapists, dieticians, and psychologists. It needs to be expanded to all centers.Regarding the emotional pillar, some centers have priority access or fast-tracking for the elderly and those with special needs, though consistency in implementation is still developing.",balance_multidimensional;person_centered_care;institutional_example;technology_integration;pillar_emotional;professional_identity,en
D4_S0021,HWEL10AR.docx,10,D4_P26,participant,"Consultant in family medicine, PHCC, Table 10",identified,Q4,"The biggest challenges are staffing and time. Consultations are often less than 10 minutes, making it hard to explore a person’s whole life. Language barriers are also an issue. His interpretation identifies systemic constraints-not enough staff, not enough time, and communication barriers-as the primary obstacles to providing holistic care (Suggestion): We should expand specialized clinics like I-COPE and perhaps allow pharmacists to handle minor illnesses like the flu to free up doctor time. His interpretation is that while holistic care is not yet standard, there are promising initiatives like the I-COPE clinic that successfully integrate the pillars. He sees this as a positive starting point but acknowledges the need for wider expansion across the system.",balance_multidimensional;institutional_example;workforce_constraint;cultural_barrier;technology_integration;practical_suggestion;professional_identity,en
D4_S0022,HWEL10AR.docx,10,D4_P28,participant,"Rumailah Hospital participant, Table 10",identified,Q5,"Challenge Consultation times are very short-15 minutes for follow-ups-which isn't enough. Also, some patients have a resistant mentality toward support. Opportunity: She identifies bringing services directly to the patient through home care and proactively preparing the public through awareness campaigns as key opportunities. Suggestion: She suggests both a systemic fix (triage clinics to filter patients) and a long-term, preventative solution: embedding wellbeing education into the school curriculum from a young age",home_care_services;workforce_constraint;awareness_education;technology_integration;practical_suggestion,en
D4_S0023,HWEL10AR.docx,10,D4_P29,participant,"Qatar University participant, Table 10",identified,Q7,"Challenge: Her interpretation points to a cultural and philosophical gap. She believes modern society has lost its connection to community wellbeing and that policymakers create ""soulless"" policies because they overlook the human details. Opportunity: She sees an opportunity to inject more humanity and flexibility into policy-making, moving away from rigid, black-and-white rules. Suggestion: Her suggestions focus on fundamental skills and clarity: mandating communication training for providers and having policymakers clearly define the rights and responsibilities of all parties to foster mutual respect. Manal Sherif. Challenges: Lack of formal training for staff on empathy and communication; a resistant patient mindset. Opportunities: Use media and schools to promote a wellbeing ideology across society. Suggestions: Provide translators and train staff on handling difficult situations with empath",training_deficit;cultural_barrier;technology_integration;policy_recommendation;practical_suggestion,en
D4_S0024,HWEL1AR.docx,1,D4_P01,participant,"Participant, role not stated, Table 1",identified,Q1,احنا احنا جاوبنا على طاولة ثانية لكن معلش احنا نجاوب على هاذ الطاولة من هنا وبعدين بسم الله الرحمن الرحيم دروش العمادي لان لازم واحد يقول اسمه قبل شوف الحياة طيبة انا اعتقد هي الحياة اللي توفر توازن نفسي للإنسان. توازن نفسي بمعنى انه هو يجب ان يتقبل الحياة يعني بصورة اللي عليها مش بالحياة اللي في مخيلته. احنا كلنا ودنا نصير بليونيرس وكلنا ودنا نعيش 200 سنة وبصحة كان عمرنا 30 سنة لكن هذا غير واقع وبالتالي انا اعتقد الانسان اللي يعني اللي يعيش حياة سعيدة هو اللي ينظر الى الحياة بالواقع اللي هو فيه ويقبله كما هو صحيح يحاول ان يغير هذا الواقع الى افضل ولكن لا يكون همه كله يعني الجري ورا هذا على حساب امور اخرى انا اعتقد الحياة فيها كثير من الاشياء اللي توفر لنا سعادة على سبيل المثال من غير وجود المادة يعني الصحبة الطيبة تسوي ملايين الريالات تخيل انك انت عايش وعندك مليونير وانت عايش بنفسك ما عندك حد وتخيل في المقابل الشخص اللي ما عنده الا دخل بسيط لكن عنده كثير من الاصحاب هذا انا متأكد الثاني حياته اسعد بكثير من الأول وايضا لازم الانسان من وجهة نظري يكون مقتنع بما رزقه الله بمعنى انا قلت هالمثال هذا يعني انا حتى اقول لابناءي يعني ترى اذا انتوا راكبين سيارة كامري وطاف عندكم واحد راكب فراري قول الحمد لله مش لانه طاف الفراري قول لانك انت راكب هذا لانه في كثيرين ترى راكبين السيكل ومشت من جنبك وعدد اللي راكبين السيكل عموما يفوق بمراحل عدد الراكبين الفراري يعني امكان واحد -اثنين فراري لكن اللي راكبين السيكل بالالاف فانت تقول الحمدلله اللي انت فيه صحيح تحاول إن في يوم من الأيام يكون عندك فراري بس ما يكون هذا هو الهدف الوحيد في العالم. يعني هذا بالنسبة لي هذا التوازن أنا أعتقد مهم جداً. هذا التوازن هو اللي يوفر السعادة للإنسان. هاي وجهة نظري يعني طبعاً الناس وجهات نظر. شكراً دكتور شكراً. مين بيحب يشاركنا معنى الحياة الطيبة بالنسبة لكم شخصياً؟ اتفضل,balance_multidimensional;spiritual_moral_anchor;mental_health_elderly;institutional_example;practical_suggestion,ar
D4_S0025,HWEL1AR.docx,1,D4_P02,participant,"Director of Pharmacy, Table 1",identified,Q1,"مثل ما تكلمنا قبل شوي إنه هو التوازن الجزء الأول روحي فكري عقلي أفكار نتكلم عنها والجزء الثاني صحي واجتماعي. هذا هو التوازن فلو مسيكنا النص الأول من التحكم في الأفكار أو الأفكار اللي تدخل فبيكون هنا الأفكار طبعاً أول شيء الاقتناع والاستقرار الروحي مهم جداً للسلامة النفسية أو للحياة الصحية. الجزء الثاني قلنا الأفكار اللي تجي الواحد لازم ينتبه من الأفكار سواء له أو لعائلته أو لعيالة. أنه ساعات تكون الأفكار هي المدمرة نفس ما قال الدكتور قبل شوي أنه ممكن يكون الواحد عنده كل شيء ولو رجعنا أساسيات الحياة موجودة ولكن (expectations)التوقع للشخص يكون أعلى من المطلوب فالواحد يعيش في شقاء بسبب أو ألم بسبب أنه حاطط في باله مستوى معين أو شيء معين أو الأنماط الفكرية فيه(irrational thinking) أنماط غير عقلانية موجودة اللي الواحد يقولك مثلاً اللي يسمونها (personalization) أحسس أنه فيه حد ضدي هو ما فيه حد ضدك بس هذه نسبة معينة في كل إنسان موجودة التعميم(overgeneralization) إذا صار موقف في يوم من الأيام أطبق عليه أنه هذا الشيء موجود فأبتدي أحط فكرة معينة موجودة عندي. وفي بعدها النمط الفكري اللي هو (must, demanding) اللي أنا لازم لازم هذا اللي لازم أنت تسوي لك سقف توقع كبير ممكن أنت تكون ألم لغيرك أنت طالب منهم أنت لازم توصل لهذا الشيء. اللي حياته (must, should) هذا إنسان تعبان بحياته هو حاطط له توقعات أعلى. مش هالمطلوب. توني أقول قبل شوي من بات منكم آمناً معافا في جسده آمناً في سربه عنده قوت يومه فقد حيزت له الدنيا بحدافيرها. أنت إنسان سعيد عندك كل شيء لكن المشكلة إنه لو الواحد حاطله شيء أعلى من المتوقع يعيش بشقاء دائم والسبب أفكاره. نرجع نقول الأفكار أنا ألاحظ اللي هي التوعية الدينية والتوعية الصحية في المجتمع مهم جداً للتوازن. نرجع للسؤال نفسه الجزء الآخر اللي هو الصحي ما أنت ما رح تعيش مرتاح نفسياً ولا صحياً إذا كان جسمك مش مساعدك ونسميها هني (resilience) المرونة. أنت لو ما عندك إيمانيات, نرجع نقول عشان التوازن إذا ما عندك إيمانيات وما عندك صحة وما عندك (practice) أنت تسوي شيء معين في حياتك عشان ترفع المرونة عندك, بتلاقي نفسك تطيح مع أي شيء يصير لك. إذا ما اهتميك في صحتك نقول من بدري من الفحوصات اللي أنت تتابعها عشان تكون في عمر 50 و60 بصحة كاملة, بتلاقي نفسك تحت مرة وحدة. الكلى مشكلة لا تظهر, يعني ما تظهر إلا بعد ما يكون إحنا في المراحل الأخيرة. فإذا أنت ما تابعت وما سويت لك يعني هدف صحي أن أنت تكون في مستوى معين بتلاقي نفسك تحت مرة وحدة طبعاً هذا بيأثر لك على الدنيا كلها. يعني لو أنت عندك الأفكار طيبة ومتحكم في الأفكار ومتحكم في عاطفتك بس جسمك مش مساعدك. نفس الشيء المجتمع, الظواهر اللي تظهر في المجتمع. المجتمع شلون يتحرك, السوشيل ميديا السوشيل ميديا وأهدافها. إذا ما في توعية من المجتمع واللي يقودنا هم البلوغرز والبلوغرز هذي ما في توجيه لهم وما في تركيز لهم ادمرت الدنيا. ليش احنا نلعب في الأفكار. في الإسلام, شلون توثق حسابك؟ لازم يكون عندك يعني كذا نقطة تغطيها. منها أنه أنت يكون عندك مثلاً فيه تصوير الأشياء المادية. في أكل مطاعم,فيه لبس معين فيه سفرات. إذا ما قطيت هالأشياء ما يتوثق الحساب. فإذا إحنا ماشيين بهالمنطلق بتلاقي عيالنا كلهم الـExpectation طلع فوق. سيارة فراري بتصير هدف. عنده أبوه جايبله سيارة زينة وحياته حلوة. لا هو عنده هدف معين لأنه هو عايش في مجتمع معين فالأفكار نرجع لها. الأفكار هي اللي تنعكس على الروح وعلى القلب والنفس عبارة عن لو قلنا السؤال اللي هي الرفاهية النفسية أو السؤال على الحياة الطيبة. فلو فكرنا في الحياة الطيبة للنفس البشرية هي قلب وعقل. فإذا الأفكار صحيحة تدخل للقلب وفي عندي توعية مجتمعية إنه مش أي ظاهرة تنتشر وإن الناس كلهم يسوون هالشي فأنا رح أمشي نفس الناس لأن الدنيا كلها ماشي بهالطريقة. لا لازم في توعية لازم في حد يوقف ويحط فكرة معينة. المصيبة لو كانوا القادة أو القدوة مثل الأب والأم ماشيين فيها التوجه فبيكون من اللي رح يعدل هالأسرة؟ ففعلا المسؤول في أي مكان يعني كلكم راع وكلكم مسؤول على رعيته وكل واحد في ثقر من ثقرله. الدكتور الطبيب الجامعي لازم يكون فيه أهداف معينة الواحد لازم يوصلها. نفس ما نقول في الإسلام, بطلب أشياء معينة عشان الواحد يكون يعترف به إذا الفكر هو اللي لازم نشتغل عليه أول شي. إذا تعدل الفكر تعدل القلب وإذا فيه توعية اجتماعية في المجتمع يتعدل السلوك.",balance_multidimensional;spiritual_moral_anchor;inner_peace_stability;safety_security;mental_health_elderly;family_caregiver_ecology;service_adequacy_reflection;awareness_education;practical_suggestion;pillar_intellectual;pillar_social;professional_identity,ar
D4_S0026,HWEL1AR.docx,1,D4_P03,participant,"Home care participant, Hamad Medical Corporation, Table 1",identified,Q1,"ما أقول أن نحن خاليين من المشاكل بالعكس ظروف الحياة كثيرة السلبيات كثيرة وفيه إيجابيات نسميها فيه صعوبات فيه تساهل ونسميها فيها سلبيات فيها إيجابيات بس من اللي يصنع الحياة طيبة؟ الفرد. الفرد من هو اللي يصنع الحياة طيبة. لما أنا حافظ على صحتي. لما أنا حافظ على التفكير التوازن بين العقل وبين القلب. لما أنا أشوف الحياة اللي أنا أفضلها ومش الغير يفضلها الرضا, الثقة بالله. كل هذي تكون لي الحياة طيبة حتى إحنا نسأل الواحد أخبارك اليوم يقول طيب. إذا شو معنى طيب بالنسبة له؟ معنى هو مريض بس يقولك أنا طيب معناة أنه سليم عقليا راضي بقضاء ربه راضي بقضاء بالقدر اللي كاتب له ربه, بالقناعة. هذه تعطيني أنا الحياة طيبة بس إذا أنا بقارن حياتي بحياة فلان بعيش في تعب فبتكون حياتي مش طيبة فهذه يعني مفهوم الحياة الطبية إن هي سلامة العقل سلامة الجسدية سلامة الروحية الثقة بالله الرضا والقناعة. هذي هي. شكرا",contentment_acceptance;balance_multidimensional;spiritual_moral_anchor;pillar_spiritual;pillar_physical,ar
D4_S0027,HWEL1AR.docx,1,D4_P04,participant,"Service recipient, Table 1",identified,Q1,(patient)بالنسبة للحياة الطيبة يعني أنا ما رح أضيف يعني عن الأخوان بزيادة بس حابب أقول أن الحياة طيبة باختصار أن الواحد يكون مرتاح. فالواحد شلون يوصل حق هذه الراحة؟ أتوقع أن الواحد يعني هو الرضا. يعني الواحد شلون يكون راضي عن الوضع اللي هو فيه. يعني هو سبحان الله يعني إيمان يكون نابع من الداخل. أن ما أصابك لم يكن ليخطأك وما أخطأك لم يكن ليصيبك. فالأرزاق موزعة على الكل لكن الواحد أهم شيء أنه يخلص في المجال اللي الله يعني حطه فيه على قد ما يقدر باللي الله أعطاه الإمكانيات أنه يعني يخلص في مكانه. أتوقع الواحد إذا أخلص وكان صادق مع نفسه ومع الناس اللي حوله سبحان الله بيوصل حق حياته ويكون راضي عن نفسه.,contentment_acceptance;spiritual_moral_anchor;service_recipient_voice,ar
D4_S0028,HWEL1AR.docx,1,D4_P05,participant,"Participant, Hamad Medical Corporation, Table 1",identified,Q1,"أنا يعني ما رح أضيف عن اللي قالوا ما شاء الله يعني كان النقاش شمولي لكن رح أضيف يعني معنى الحياة الطيبة في حديث اللي هو المؤمن القوي أحب إلى الله من المؤمن الضعيف. وهذا فيه دلالة وربط على أكثر من, مش الصلابة البدنية فقط حتى المرونة النفسية والرضا وغيرها من الأمور. التوكل والعزم. فمثلا اليوم احنا تركيزنا على فئات كبار القدر, يعني لو رجعنا سنة قبل كنا لما نشوف كبار القدر يمارسون رياضة أو بيتحركون أو بيزولون نشاط شوي بدني فيه جهد كنا يعني نقولهم لا مثلا خلى عنك أو ارتاح وكذا. مع ان هو بالعكس المفروض انه احنا نشجعهم انه هما يتحركون ويزولون رياضة وما فيه شيء انه مثلا والله سنة ستين لا لازم يقعد في مكانه وما ينتج. بالعكس هالانتاج يرجعله (self-esteem, sense of productivity) حس الانتاجية والعطاء والأمور الثانية الأهداف النبيلة اللي حفها علينا ديننا قبل المعتقدات المجتمعية وغيرها من الأمور.",contentment_acceptance;balance_multidimensional;spiritual_moral_anchor;dignity_autonomy;mental_health_elderly;family_caregiver_ecology;practical_suggestion;pillar_physical;age_dignity_language,ar
D4_S0029,HWEL1AR.docx,1,D4_P06,participant,"Participant, role not stated, Table 1",identified,Q2,يعني الحياة الطيبة احنا حكينا مثل ما قالو الزملاء انه الانسان اهم شيء هو فيه ركيزه على القناعة. انك انت مقتنع مش شيء عندك هذا يولدك نوع من الحياة وتكون سعيد فيها بس اذا انت دائما تاخذ الأشياء بقلق وهذا ليش هذا كذا ليش هذا كذا دائما يعني ما راح تعيش حياة سعيدة. وثانيا دائما لا تنظر الى الأعلى منك انظر الى التحت منك اللي أدنى منك حتى انت تحس انك انت ايضا عندك أشياء جيدة يعني مو كل شيء عندك يكون نوع من السيء. وكذلك عندما تاخذ أشياء بقلق. القلق يولد التوتر والتوتر يدينك ما راح تكون عايش حياتك طيبة شكرا جزيلا,contentment_acceptance,ar
D4_S0030,HWEL1AR.docx,1,D4_M01,moderator,"Moderator, Table 1",identified,Q2,طيب في السؤال الاول تكلمنا عن الحياة الطيبة و مفهوم الحياة الطيبة. السؤال الثاني يعني راح نسألكم عن العافية واللي هو كلمة well being او كلمة well بالانجليزي يعني نفس السؤال الاول بس كيف بتعرفوا مفهوم العافية من منظوركم الشخصي يعني لما احنا نحكي بالعربي هذا الشخص بعافية بارح بالليل لما كنا نتناقش بالأسئلة يعني حكولي مثلا dialect القطري بعافية يعني صحته منيحة بس احنا بهذا السؤال احنا بالفلسطيني بنقول صحته منيحة بس هون طبعا بعافية احنا بنقصد ال well بالضبط او يعطيك العافية يعني من الجوانب الصحية ومن الجوانب الاجتماعية. فانتو في نظركم كيف بتعرفوا مفهوم العافية again ال well being ok فاللي بيحب يشارك .,moderator_context,ar
D4_S0031,HWEL1AR.docx,1,D4_P07,participant,"Participant, role not stated, Table 1",identified,Q2,"هو مفهوم العافية يعني اتخيل من وجهة نظر الشخص غير من وجهة نظر مثلا الطبيب. يعني بتخيل يعني لما بسأل حد مثلا ويقول انه هو he's doing well فلو مثلا من وجهة نظر الغربية غالبا موضوع مادي يعني هو مثلا معلهوش ديون مش قاعد في الشارع homeless غير هنا مثلا. لو حد بتقوله كيف الاخبار, فالعافية هنا اللي احنا حكينا فيه من شوية. اول حاجة اللي حكينا, ربنا سترها علينا ان احنا يعني نعمة الامن, يعني الصحة في الجسد, العلاقات الاجتماعية وخلافه ومش بالضرورة حتى يعني الماديات. فده بيكون مثلا من وجهة نظر ال client او الشخص اللي نسأله. لو من وجهة نظر الطبية, يعني العافية بتبقى يعني very loose term عمرنا ما بنتفق عليه ابدا .انه كل واحد برضو عنده عدسة بيشوف العافية من ناحيتها. دكتور الطوارئ مثلا يتأكد ان المريض عايش على قيد الحياة. يعني مثلا في اماكن اخرى يعني العافية انه مثلا وقاية, ما يبقاش عنده لاقدر الله اي حاجة غير مثلا طبيب اخر. اكيد دكتور كاكل يتفق معايا ان في مرحلة ما ننقلل الاضرار بس يكون في حاجة بس الامور مش بتتدهور. هذا من وجهة نظري الطبية. من وجهة نظر الشخصية اللي هي essentially يعني اللي هو التداخل العامل الشخصي مع الروحي مع الاجتماعي. يعني ودي حتى يعني طريقة الواحد بيشوف فيها طريقة الحياة مش بس المرضى. خلاص",spiritual_moral_anchor;family_caregiver_ecology;pillar_social,ar
D4_S0032,HWEL1AR.docx,1,D4_P01,participant,"Participant, role not stated, Table 1",identified,Q2,"اه يعني من وجهة نظري طبعا يعني لما تقول انا بعافية وخير في الغالب منظور الصحي: انا الحمدلله انا مو مريض عايش ماشي بصحة يعني ادي حياتي اليومية بشكل سليم. هذا الصفة الغالبة طبعا ضمن هذا الأشياء. انا لو كان عندي مشكلة مع ابني مع زوجتي مع جاري فاذا مستوى العافية هذه اقل من ان ما تكون بس انا اقول بصفة عامة لو سألنا الناس في الغالب, العافية مرتبطة باي جانب هو بالجانب الصحي النفسي والعلاقات الاجتماعية السليمة هذا في الغالب هو فانا وجهة نظري يعني اكثر ما يتبادل الى ذهن الانسان في كلمة العافية هو الجانب البدني الصحي اكثر منه الجوانب الأخرى. وان كانت الجوانب الاخرى كلها لها ايضا ممدودات مرتبطة بالعافية يعني وهذا مختلف عن قضية الرفاهية. يعني انا اعتقد الرفاهية مستوى اخر ليس له علاقة بالهاي. الرفاهية في الغالب مستوى مادي يعني مرتبط بالجانب المادي اكثر منه من جوانب الاخرى لان احنا ما نقول فلان هذا عنده حياة مرفهة معناه انه يستطيع ماديا ان يعيش في مستوى مختلف عن المستوى المتوسط يعني على سبيل مثال هذا مرفه ياخذ طيارة خاصة يسافر على سبيل المثال. الناس كلها يسافر على البيزنس ولا الفيرست ولا الايكونومي . في طيارة فيها 50 واحد هو ياخذ طيارة بنفسه لانه مرفه عنده من المقدرة المادية. فالرفاهية في الغالب مادية وليست هناك رفاهية نفسية انا اعتقد ما فيه هناك رفاهية نفسية. يعني ما فيه واحد يقول انا والله عندي وصلت حالة نفسية فيها رفاهية. انا اعتقد ما في . طبعا يعني انا وجهة نظري هذا لا يوجد. لكن ماديا ممكن تصل الى يعني فقط.",spiritual_moral_anchor;mental_health_elderly;family_caregiver_ecology;institutional_example;pillar_social,ar
D4_S0033,HWEL1AR.docx,1,D4_P03,participant,"Home care participant, Hamad Medical Corporation, Table 1",identified,Q2,"بالنسبة للتعريف العافية هي معناتها بالنسبة لي منظوري انها القوة. والقوة هي من سلامة الجسم. سلامة البدن. سلامة التفكير. اه فلما انا اقول اول شيء انسان يعطيك العافية معناه يعطيك القوة. قوة زيادة يعني. اه قبل احنا معروف العافية اسمهامثل ما تكرم الدكتور وقال ان هي مرتبة شخص صاحي او شخص مريض. بس الان العافية صارت تنطبق حتى على اه مجال العمل. احنا مثلا في مؤسسة حمد طبية مشتغلين على برنامجwellbeing نشوف مثلا راحة الموظف من خلال تقليل ساعات العمل او تقليل مثلا الضغط اللي عليه. او يعني بتكلم عن قسمي انا, يعني مثلا تقليل ساعات الزيارات حق المرضى بالبيوت. يعني مثلا احنا عندنا نطلع حق المرضى. نزورهم بالسيارات. فالممرضة هي اللي تسوق وهي اللي تروح بيت المريض وهي اللي تفحص المريض وترجع بالسيارة. فشفناها ان احنا نطبق عليها برنامج ال wellbeing . ان شلون الممرضة تكون راضية من حيث تكون تخفض عليها ضغوطات الشغل. فقدمنا نسوي مثلا يوم بالاسبوع او يوم بالشهر اه رياضات مختلفة. يعني مثلا سويناها مثلا اليوغا. مرة سويناها المشاركة تيم بلدينجteam building . انها تكون فيها رفاهية وفي نفس الوقت احنا نعطي قوة للممرض انه يرجع للحياة مرة ثانية. يرجع لطبيعة العمل. لكي احنا نقولmotivation اكثر.. فهذه مفهوم العافية عندي بالنسبة لي انا. كقوة.",multidisciplinary_team;institutional_example,ar
