evidence_id,theme,segment_id,source_file,table_id,speaker_code,speaker_type,role_label,attribution_status,evidence_type,question_id,excerpt_text,codes,language,report_use
D2_S0029,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0029,HWYO0AR.docx,0,D2_P03,participant,"Consultant obstetrician-gynaecologist and executive leader, Table 0",identified,verbatim_transcript,Q3,لديَّ تعليقٌ على ما ذكره مشارك آخر بخصوص العزلة الاجتماعية؛ فنحن نعيش هذه العزلة واقعاً، حتى أنك قد ترى أربعة أشخاص يجلسون على طاولة واحدة، وكل منهم منشغلٌ بهاتفه. ولعل هذا ما دفع دولاً كبرى كالصين مؤخراً إلى اتخاذ إجراءات صارمة، حيث بدأوا بمنع الأطفال من الاستخدام المفرط للأجهزة اللوحية (الآيباد).,peer_belonging_isolation;digital_social_media_pressure;pillar_social;professional_identity,ar,theme_evidence
D2_S0031,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0031,HWYO0AR.docx,0,D2_P03,participant,"Consultant obstetrician-gynaecologist and executive leader, Table 0",identified,verbatim_transcript,Q3,إن العزلة الاجتماعية التي نناقشها في هذه الندوة تبدأ منذ الصغر، وهي تؤثر بشكل مباشر على تكوين شخصية الفرد في المستقبل؛ سواء في بيئة العمل، أو في حياته الزوجية، أو في علاقته مع أسرته الكبيرة. فالعزلة الناتجة عن الإفراط في استخدام الإلكترونيات لم تعد تقتصر على الهواتف فحسب، بل وصلت إلى حد انعزال الأبناء في غرفهم الخاصة خلف شاشات التلفاز والألعاب.,family_support_ecology;peer_belonging_isolation;digital_social_media_pressure;pillar_social;professional_identity,ar,theme_evidence
D2_S0033,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0033,HWYO0AR.docx,0,D2_P04,participant,"Mental-health executive, Table 0",identified,verbatim_transcript,Q3,يُعد الهاتف اليوم من أكبر التحديات التي تواجه المجتمعات؛ فالمشكلة الأساسية تكمن في 'العزلة الاجتماعية'. قديماً، كنا نظن أن العزلة لا تحدث إلا بسفر الأب أو بعده الجسدي، لكن العزلة الحقيقية اليوم هي أن تعيش مع أسرتك في بيت واحد، بينما كل فرد يعيش في عالمه الخاص دون أي تواصل.,peer_belonging_isolation;digital_social_media_pressure;pillar_social;professional_identity,ar,theme_evidence
D2_S0082,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0082,HWYO10AR.docx,10,D2_P24,participant,"Psychologist, Table 10",identified,note_style_transcript_summary,Q2,The social pillar is the most important for young people because you cannot do anything alone.,peer_belonging_isolation;pillar_social;professional_identity,en,theme_evidence
D2_S0205,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0205,HWYO4AR.docx,4,D2_P12,participant,"General paediatrics clinician, Table 4",identified,verbatim_transcript,Q5,بالطبع طبعا طبعا كل ما كانت اهتمت مثل ما قلنا بالصحة والوقاية واكتشاف الأمارات في الأول كلما اتعكست على الحياة الطيبة لما تكتشف الطفل عنده مشاكل نفسية بدري أو عنده مشاكل في الإدمان أو عنده مشاكل في حاجة مخبيها على أسرته عنده مشاكل في الأسرة نفسها ستقدر تكتشفها بدري طبيعي سيعيش حياة طيبة,family_support_ecology;professional_identity,ar,theme_evidence
D2_S0298,Theme_2_Youth_Social_Ecology_and_Disconnection,D2_S0298,HWYO9AR.docx,9,D2_P17,participant,"Occupational therapist, mental health services, Table 9",identified,verbatim_transcript,Q5,"I think maybe for the challenges of the cultural aspects, not enough communication between the patient and the doctor, all of these things, like time constraints, maybe each aspect can be applied, but applying them, like, holistically and in an integrated way is probably the most challenging, because some people might accept that you're asking about the social aspects, how are you doing with your family, how are you doing with your friends, how are you doing in school, and sometimes they might be asking you how are you doing at learning. Most people don't like to say how they're doing at school, like, grade-wise, so they close off, but they might tell you how they're doing with their friends, but they won't tell you for the other aspects, so integrating them, I feel, is very challenging in that aspect.",balance_multidimensional;family_support_ecology;peer_belonging_isolation;patient_provider_relationship;professional_identity,en,theme_evidence
D2_S0036,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0036,HWYO0AR.docx,0,D2_P02,participant,"Consultant obstetrician-gynaecologist, Table 0",identified,verbatim_transcript,Q4,لو قلتُ لكم إن هذه الركائز غير موجودة في ممارستنا الطبية فلا تصدقوني، ولو قلتُ إنها موجودة فلا تصدقوني أيضاً؛ فهي حاضرة ولكن ليس بالشكل المثالي المأمول. أتحدث عن نفسي؛ فقد تخرجتُ كطبيبة إكلينيكية بامتياز، أتقنُ التشخيص وخطوات العلاج بدقة، لكن (التعاطف الوجداني) مع المريض وأسرته هو ما سقط من حساباتنا كأطباء.,balance_multidimensional;patient_provider_relationship;professional_identity,ar,theme_evidence
D2_S0046,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0046,HWYO0AR.docx,0,D2_P04,participant,"Mental-health executive, Table 0",identified,verbatim_transcript,Q3,كما تفضل مشارك آخر، فإن القوانين في مختلف أنحاء العالم تجرّم إفشاء المعلومات الطبية، ولكن الإشكالية تكمن في ضمان أن تظل هذه المعلومات حكراً على الأشخاص المعنيين بالعلاج فقط. فعندما تُفصح المريضة للطبيبة عن معاناتها مع الاكتئاب، فإنها تمنحها ثقتها بناءً على موافقة ضمنية بأن تظل هذه المعلومة سرية، ولا تتاح لكل من هبّ ودبّ. لذا، أعتقد أن التحدي الأكبر أمام المنظومة الصحية الحالية هو ضمان خصوصية المرضى بشكل تقني وقانوني صارم.,confidentiality_trust_barrier;top_down_system_change;patient_provider_relationship;professional_identity,ar,theme_evidence
D2_S0051,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0051,HWYO0AR.docx,0,D2_P03,participant,"Consultant obstetrician-gynaecologist and executive leader, Table 0",identified,verbatim_transcript,Q5,إنني لا أستطيع الوصول إلى المريضة أو تفعيل ركائز 'الحياة الطيبة' في علاجها ما لم أتمكن من كسر الحواجز النفسية التي تحيط بها؛ فالمريضة أحياناً تكون منغلقة على نفسها تماماً 'كالعلبة المغلقة' التي لا يمكن النفاذ إليها. وفي ظل هذا الانغلاق، يغدو من الصعب عليَّ تقييم وضعها بدقة أو تغيير نمط التواصل معها لتحسين حالتها، خاصة وأن التعامل مع المرضى ليس قالباً عاماً يُطبق على الجميع؛ فكل مريض يمثل حالة خاصة تتطلب أسلوباً منفرداً في الاحتواء والمعاملة.,balance_multidimensional;empathy_reassurance;patient_provider_relationship;self_disclosure_hidden_distress;professional_identity,ar,theme_evidence
D2_S0086,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0086,HWYO10AR.docx,10,D2_P28,participant,"Human resources professional, Table 10",identified,note_style_transcript_summary,Q4,"In the private sector, we lack resources; doctors have only 20 minutes per consultation, which hinders the physical and emotional side.",consultation_time_pressure,en,theme_evidence
D2_S0089,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0089,HWYO10AR.docx,10,D2_P24,participant,"Psychologist, Table 10",identified,note_style_transcript_summary,Q4,The pressure of having 30 patients waiting outside damages the image of healthcare professionals because they cannot spend enough time with each person.,consultation_time_pressure;access_delay_waiting;professional_identity,en,theme_evidence
D2_S0105,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0105,HWYO10AR.docx,10,D2_P29,participant,"Clinical psychologist, Table 10",identified,note_style_transcript_summary,Q4,"The issue is stigma. Even if services exist, staff fear being judged if they seek help.",stigma_help_seeking_barrier;professional_identity,en,theme_evidence
D2_S0150,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0150,HWYO11AR.docx,11,D2_P38,participant,"Dental clinician, private sector, Table 11",identified,verbatim_transcript,Q5,الوقت اللي بينعطى للطبيب او الممرض يقضوه مع المراجع،، اذا معه ربع ساعة مثلا ليفحصه بدنيا، فما بقى معه وقت كرمال يركز عالجانب النفسي او الجوانب الثانية، فما في وقت انه نعمل رعاية شاملة، ما عنا وقت نسمعله نطلع أكثر عالجانب النفسي،، لازم يعطوا مجال للممارسين الوقت الكافي حتى يهتموا باشياء غير الجانب البدني... شغلة ثانية يجوا عنا كثير أطباء أجانب،، ما عم احكي على حدا معين،، لما يبلشوا يشتغلوا ما بيعرفوا الثقافة تبعتنا، مثلا همة ما بيهموا العيلة مثلا،، ثقافيا ما فيك تقول لبنت عربية تعالي اعمل لك تخطيط قدام أبوها،،، لازم ياخذوا بعين الاعتبار العيلة والعواطف،، كثقافة تبعتنا احنا العرب،، بدك تأخذ بعين الاعتبار كل هالأشياء،، مش بس مركز عالجانب البدني، لازم تهتم الجانب الاجتماعي والنفسي وهالأشيا.. البنت قدام أبوها رح يحرجها،، لازم يكون في معرفة في الجانب الثقافي ويعرفوا العايلة ولازم ياخذوا بعين الاعتبار الجانب الاجتماعي والعاطفي.,stigma_help_seeking_barrier;language_cultural_mismatch;professional_identity,ar,theme_evidence
D2_S0151,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0151,HWYO11AR.docx,11,D2_P38,participant,"Dental clinician, private sector, Table 11",identified,verbatim_transcript,Q5,نظام الخدمة ما يعطي الفرصة لدمج هذه الركائز في تقديم الخدمة،، فالمدة مثلا 30 دقيقة،، بينما في الجامعة كان الوضع مختلف كنا نقعد ساعتين ولأنه كانت عنا علاقة قريبة مع المرضى، شو ما نشتغل ينجح ويطلع المراجع راضي ومبسوط.,contentment_acceptance;balance_multidimensional;consultation_time_pressure;professional_identity,ar,theme_evidence
D2_S0152,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0152,HWYO11AR.docx,11,D2_P35,participant,"Service recipient, Table 11",identified,verbatim_transcript,Q5,الدكتور اللي قدامك ما يعرف أساسا مشاكلك العاطفية والاجتماعية ولا يراعيها لأنه أساسا ما يعرفها وحتى لو عرفها ما يقدر يتعامل معها،، لانه تخصصه بدني بس، مش اجتماعي، وهو يقيمك بدنيا ما يقيمك عاطفيا او اجتماعيا.. انا اللي تعاملت معهم،، انا الحمدلله ما عندي مشاكل عاطفية، لكن الأسئلة اللي يسألونياها ما تركز على هذا الموضوع (العاطفي والاجتماعي).. من ناحية الوقت حتى تأخذ موعد مع دكتور تنتظر شهرين،، وأثناء هذول الشهرين انا خلص تعافيت وراح المرض.. انا يوم رحت بعد شهرين،، عطتني فحوصات طبية وقالتلي النتائج تطلع بعدها شهرين،، فقلتلها بعدين انا خلص تعافيت، قالتلي ليش تعافيت,access_delay_waiting;self_disclosure_hidden_distress;pillar_emotional;pillar_social;service_recipient_voice,ar,theme_evidence
D2_S0154,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0154,HWYO11AR.docx,11,D2_P38,participant,"Dental clinician, private sector, Table 11",identified,verbatim_transcript,Q5,بالنسبة لهاد لسؤال، في عاملين،، الوقت ومقدم الرعاية بحد ذاته... الوقت قليل واحنا بدنا نشتغل وبدنا نعمل 100 شغلة بس تخلص الجلسة! في دكتور مثلا ما عنده تعاطف ولا رغبة بمعرفة المريض اللي مقابليه ولا بده يدخل بأي موضوع غير مثلا الرجل المكسورة... هذي ما أعرف أنها إيجابية أو سلبية أنه يهمني كثير أعمل علاقة مع المريض قبل ما أبدأ، صح إني دكتورة أسنان، بس بدخل مع مرضاي بكل أمورهم، هم بشو يحبوا يحكوا أنا مستعدة أسمع وشو فيني أساعدهن رح أساعدهم،، أدعمهم، أحيانا أساعدهم بالأمور الطبية الثانية، يحبوا يجوا لعندي لأنه يرتاحوا معي... فالتحدي هو الوقت وشخصية مقدم الرعاية.. لأنه مو كل مقدم مستعد... في ممارس انت ناطره 3 شهور وما يقعد معك أكثر من 5 دقايق.,contentment_acceptance;support_as_wellbeing_core;consultation_time_pressure;access_delay_waiting;professional_identity,ar,theme_evidence
D2_S0236,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0236,HWYO7AR.docx,7,D2_P14,participant,"Clinical psychologist, Aman Centre, Table 7",identified,verbatim_transcript,Q5,ضمن التحديات اختلاف اللغات للحالات، وهذا ممكن أن يصعب علينا أن نقدم كل الخدمات لبعض اللغات، يعني لبعض اللغات مثل الناس الذين يعرفون أردو فقط، لكن لا يعرفون عربي أو إنجليزي أو يعرفوا فرنساوي فقط ليس لديهم. يكون أصعب أن الواحد يقدم كل الخدمات. بعض الخدمات ليست متاحة للكل مثل مثلا أو مكلفة مثل مثلا نوفر بالنسبة لغير القطريين مكلف.,language_cultural_mismatch;professional_identity,ar,theme_evidence
D2_S0285,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0285,HWYO9AR.docx,9,D2_P22,participant,"Healthcare participant, Table 9",identified,verbatim_transcript,Q5,"Yes, basically when the people come, most of the time they are not physically unwell. I think the emotion, stress, sometimes they can manipulate as physical symptoms. So, I think maybe they are not, they don't know how to express them, so they just express as a physical problem.",self_disclosure_hidden_distress,en,theme_evidence
D2_S0292,Theme_3_Pressured_and_Trust_Sensitive_Care,D2_S0292,HWYO9AR.docx,9,D2_P16,participant,"Laboratory psychologist, Table 9",identified,verbatim_transcript,Q5,"Okay, probably, I would just like to share about what are the challenges we are facing in our department. Normally, we encounter people with, you know, very rude patient, I mean, not all, people cannot please all the people that you are. Sometimes, people who are coming to the laboratory, it doesn't like to wait that much, you know, that time is very important to them, and then they said, I come like this, and sometimes, you know, approval of the insurance, not, you know, that very quick, and, you know, they wanted to be attended right away.",access_delay_waiting;professional_identity,en,theme_evidence
D2_S0042,Theme_4_Youth_Sensitive_Implementation,D2_S0042,HWYO0AR.docx,0,D2_P05,participant,"Senior psychiatrist and policy adviser, Table 0",identified,verbatim_transcript,Q5,"أعتقد أن التحدي الأكبر الذي يواجهنا يكمن في إرادة صناع القرار وقناعتهم بضرورة دمج هذه الركائز ضمن المنظومة الصحية؛ فنحن لا نريد أن نظلم أحداً، ولكن إذا نظرنا إلى ما وصلت إليه الكلية الملكية البريطانية في الطب النفسي، نجد أنها حتمت أن يكون العلاج رباعي الأبعاد: بيولوجياً، ونفسياً، واجتماعياً، وروحياً. لذا نحن بحاجة ماسة لقرارات مؤسسية تحول هذه الركائز إلى سياسات عمل ملزمة، تماماً كما نجحت مؤسسة حمد الطبية في تجربة ""مكتب المطوع"" التي بددت المخاوف من أن دمج الروحانية قد يحول المستشفى إلى ساحة للدجل أو الشعوذة، بل أثبتت أنه عمل مهني وإنساني منضبط.",balance_multidimensional;top_down_system_change;professional_identity,ar,theme_evidence
D2_S0104,Theme_4_Youth_Sensitive_Implementation,D2_S0104,HWYO10AR.docx,10,D2_P28,participant,"Human resources professional, Table 10",identified,note_style_transcript_summary,Q4,I recommend that every institution with over 500 workers should have a dedicated psychologist or psychiatrist exclusively for staff.,healthcare_worker_wellbeing;practical_recommendation;top_down_system_change,en,theme_evidence
D2_S0109,Theme_4_Youth_Sensitive_Implementation,D2_S0109,HWYO10AR.docx,10,D2_P28,participant,"Human resources professional, Table 10",identified,note_style_transcript_summary,Q4,"In my institute, we have a dedicated quality and safety team that takes suggestions directly to management for actionable plans.",interdisciplinary_integration;top_down_system_change,en,theme_evidence
D2_S0112,Theme_4_Youth_Sensitive_Implementation,D2_S0112,HWYO10AR.docx,10,D2_P25,participant,"Sports podiatry professional, Table 10",identified,note_style_transcript_summary,Q4,Change management is often handled poorly. We need digital transformation teams that involve ground-level staff from the start.,interdisciplinary_integration;top_down_system_change,en,theme_evidence
D2_S0302,Theme_4_Youth_Sensitive_Implementation,D2_S0302,HWYO9AR.docx,9,D2_P18,participant,"Midwife, women’s hospital, Table 9",identified,verbatim_transcript,Q6,"Through training and raising awareness around the role of education, related to training as well. I suggest there should be team buildings within the healthcare facility. Because as healthcare in one facility, the relationship within the staff itself should be well, so that we can project it to the patients who are coming with us.",communication_training_need;interdisciplinary_integration;awareness_outreach;professional_identity,en,theme_evidence
D2_S0304,Theme_4_Youth_Sensitive_Implementation,D2_S0304,HWYO9AR.docx,9,D2_P22,participant,"Healthcare participant, Table 9",identified,verbatim_transcript,Q6,"I think one untapped opportunity is combining education and healthcare, using the school nurses, which are really underutilized. School nurses. Yes, school nurses should ideally be trained more than just somebody who wipes the kid's nose when they have a sniffle.",communication_training_need;interdisciplinary_integration,en,theme_evidence
D2_S0306,Theme_4_Youth_Sensitive_Implementation,D2_S0306,HWYO9AR.docx,9,D2_P15,participant,"Clinical psychologist, PHCC, Table 9",identified,verbatim_transcript,Q6,"So maybe that's an opportunity. In that sense also, parenting. Teaching the parents. Because you teach the kids. Parenting the parents. Because we teach the kids, and then the kids go home, and the mother, maybe, the kids, I don't want to go to school, and the mother, ok, no problem.",family_support_ecology;communication_training_need;family_inclusive_care;professional_identity,en,theme_evidence
D2_S0309,Theme_4_Youth_Sensitive_Implementation,D2_S0309,HWYO9AR.docx,9,D2_P22,participant,"Healthcare participant, Table 9",identified,verbatim_transcript,Q6,"I can speak for private sectors, where they do everything, go through the inspection by the QCHP, and everything is acceptable at the time when the inspection is coming in. So, adding a counsellor who would cater to all these five pillars as a requirement for every centre would definitely boost the private sector's capacity and the change you would see. So this applies specifically to the private sector? It does.",practical_recommendation;top_down_system_change,en,theme_evidence
D2_S0313,Theme_4_Youth_Sensitive_Implementation,D2_S0313,HWYO9AR.docx,9,D2_P21,participant,"Specialist family medicine, PHCC, Table 9",identified,verbatim_transcript,Q7,"I think maybe one other suggestion, maybe. We all are, and even the children are using social media, we can do a social media campaign, kind of to do this awareness, to tell them what are the signs, what should they look for, and there are help available, and we should try to make them, they can trust the services in the school, in the healthcare, to express themselves, and they will get help without being judged, or any problem. So maybe social media campaign can be a good thing. Social media combined with AI.",digital_social_media_pressure;confidentiality_trust_barrier;awareness_outreach;practical_recommendation;professional_identity,en,theme_evidence
D2_S0162,Theme_4_Youth_Sensitive_Implementation,D2_S0162,HWYO11AR.docx,11,D2_U02,unclear,Attribution indeterminate,indeterminate,verbatim_transcript,Q6,أنا أشتغل بمستشفى خاص، وهي معمولة بطريقة مظهرها الخارجي والألوان والأثاث كلها هادية وتخلي المريض يخلي هادي، بقسم الأسنان حاطين موسيقى خفيفة كمان تهدي أعصاب المريض، المريض في فرق لما يكون قاعد بصالة الانتظار بسكوت وسامع أدوات طبيب الأسنان عم يشتغل بالغرفة اللي جنبه، لكن لما يسمع موسيقى خفيفة تغيرله من فكره قبل ما يفوت لطبيب الأسنان.. ثاني شي أنا بقول للممرضة تحكي مع المريض قبل ما يدخل طبيب الأسنان، هذا يهدي أعصاب المريض،، تقول له ليه انت جاي لعندنا؟، لا تاكل هم، هلأ الدكتورة بتشوفك ولما تفوت عندها يروح الوجع،، استقبال المريض وطريقة التواصل بين الممرض والمريضة، كمان المظهر الخارجي لطبيب الأسنان.. أول ما يدخل المريض.. أنا أطلب أنه ما يحضروا كل الأدوات اللي رح نستخدمها قبل ما يقعد المريض كرمال لما يدخل ما يشوف الإبرة والأدوات اللي تعطيه القلق، فقبل ما يدخل المريض نهيئ الكرسي بطريقة تكون مريحة للمريض، Position الكرسي ما يكون مزعج للمريض، الأدوات اللي حاطينها،، الشاشة اللي نحطها للمريض إذا بده يشوف أي مسلسل، في أولاد ممكن بدهم يحضروا مسلسل،، هي القصص الصغيرة ممكن تأثر على نفسه.,access_delay_waiting;environment_design_stress;environmental_design_improvement;patient_provider_relationship,ar,theme_evidence
